"subject","item","response","response_time","ambiguity","group","gap_filling","ambiguity_G","group_G","gap_filling_G"
"Native 11",12,1,"2078",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 11",3,1,"1643",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 11",6,1,"2222",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 12",17,1,"797",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 12",18,1,"2109",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 12",2,1,"2301",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 12",8,1,"3014",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 12",3,1,"2162",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 12",9,0,"2114",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 12",14,0,"2005",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 12",11,1,"1640",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 12",5,1,"1337",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 12",6,1,"2725",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 12",12,1,"1121",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 12",15,0,"2559",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 13",5,1,"2469",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 13",1,0,"4361",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 13",8,0,"2023",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 13",14,0,"3467",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 13",11,1,"2049",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 13",10,1,"1995",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 13",7,0,"886",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 13",2,1,"2773",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 13",17,1,"1374",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 13",16,0,"2102",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 13",4,1,"2569",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 13",13,1,"2913",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 14",10,0,"2792",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 14",13,1,"2712",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 14",9,1,"1269",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 14",16,1,"1715",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 14",3,1,"3923",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 14",1,1,"3121",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 14",12,1,"2243",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 14",7,1,"2845",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 14",18,1,"2203",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 14",6,1,"4019",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 14",15,1,"1258",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 14",4,1,"1701",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 15",15,0,"1957",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
