"controller","condition","item","response","response_time","subject","group_G","reading_time","ambiguity_G","filled_gap_G"
"PictureAccept","exp2-3",27,1,"2169","Native 7","Native",2169,"Control","Non-Filled-Gap"
"PictureAccept","exp2-1",37,0,"3389","Native 7","Native",3389,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",32,1,"1240","Native 7","Native",1240,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-1",31,1,"1638","Native 7","Native",1638,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",45,1,"1561","Native 7","Native",1561,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-1",53,1,"3620","Native 7","Native",3620,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-1",47,1,"2245","Native 7","Native",2245,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-1",49,0,"3774","Native 7","Native",3774,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-2",41,0,"3839","Native 7","Native",3839,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",39,1,"8270","Native 7","Native",8270,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",48,1,"2282","Native 7","Native",2282,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-2",35,0,"1554","Native 7","Native",1554,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",26,1,"1308","Native 7","Native",1308,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",42,1,"1053","Native 7","Native",1053,"Control","Non-Filled-Gap"
"PictureAccept","exp2-1",25,1,"3618","Native 7","Native",3618,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",38,0,"3862","Native 7","Native",3862,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",51,0,"3921","Native 7","Native",3921,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-1",34,1,"1411","Native 7","Native",1411,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp3-2",46,1,"2817","Native 7","Native",2817,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-2",29,1,"1115","Native 7","Native",1115,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",36,1,"1434","Native 7","Native",1434,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",52,1,"1219","Native 7","Native",1219,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-2",44,1,"1886","Native 7","Native",1886,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-2",54,0,"1477","Native 7","Native",1477,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-1",54,1,"1999","Native 8","Native",1999,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-2",37,1,"3778","Native 8","Native",3778,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",41,0,"3819","Native 8","Native",3819,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",51,1,"4599","Native 8","Native",4599,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-1",42,0,"1573","Native 8","Native",1573,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",40,0,"2012","Native 8","Native",2012,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",32,1,"2854","Native 8","Native",2854,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",49,0,"6894","Native 8","Native",6894,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-2",25,1,"3506","Native 8","Native",3506,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",50,1,"4830","Native 8","Native",4830,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-1",30,0,"2566","Native 8","Native",2566,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",31,1,"2240","Native 8","Native",2240,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",29,0,"2727","Native 8","Native",2727,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",45,1,"2426","Native 8","Native",2426,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-2",28,0,"3006","Native 8","Native",3006,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",46,1,"1701","Native 8","Native",1701,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-1",36,1,"3070","Native 8","Native",3070,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",44,1,"2712","Native 8","Native",2712,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-1",39,0,"4807","Native 8","Native",4807,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",38,1,"3147","Native 8","Native",3147,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",47,1,"2797","Native 8","Native",2797,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-2",53,1,"2219","Native 8","Native",2219,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-3",35,1,"2381","Native 8","Native",2381,"Control","Non-Filled-Gap"
"PictureAccept","exp2-1",33,1,"1444","Native 8","Native",1444,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",34,1,"2566","Native 8","Native",2566,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",52,0,"5655","Native 8","Native",5655,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-1",27,1,"1785","Native 8","Native",1785,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp3-2",43,0,"8151","Native 8","Native",8151,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-3",26,0,"2167","Native 8","Native",2167,"Control","Non-Filled-Gap"
"PictureAccept","exp3-1",48,1,"1609","Native 8","Native",1609,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-1",51,1,"3627","Native 9","Native",3627,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-1",43,1,"1094","Native 9","Native",1094,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-1",32,1,"1236","Native 9","Native",1236,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",36,1,"1423","Native 9","Native",1423,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",34,1,"1893","Native 9","Native",1893,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",52,1,"838","Native 9","Native",838,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-2",48,1,"1159","Native 9","Native",1159,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-1",49,1,"2351","Native 9","Native",2351,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-3",37,1,"1303","Native 9","Native",1303,"Control","Non-Filled-Gap"
"PictureAccept","exp2-3",31,1,"2115","Native 9","Native",2115,"Control","Non-Filled-Gap"
"PictureAccept","exp2-1",26,1,"1102","Native 9","Native",1102,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",30,1,"1255","Native 9","Native",1255,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp3-2",44,1,"1116","Native 9","Native",1116,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-3",25,0,"1762","Native 9","Native",1762,"Control","Non-Filled-Gap"
"PictureAccept","exp2-3",40,1,"1330","Native 9","Native",1330,"Control","Non-Filled-Gap"
"PictureAccept","exp2-1",41,0,"1070","Native 9","Native",1070,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",53,1,"1226","Native 9","Native",1226,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-1",38,1,"1081","Native 9","Native",1081,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",28,1,"940","Native 9","Native",940,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",46,1,"1001","Native 9","Native",1001,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-2",54,1,"3240","Native 9","Native",3240,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-2",42,1,"1727","Native 9","Native",1727,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-1",29,1,"1012","Native 9","Native",1012,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",47,1,"1038","Native 9","Native",1038,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-2",50,1,"1277","Native 9","Native",1277,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-2",27,1,"748","Native 9","Native",748,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-1",35,0,"857","Native 9","Native",857,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",33,0,"1427","Native 9","Native",1427,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",39,1,"1382","Native 9","Native",1382,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",45,1,"695","Native 9","Native",695,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-2",51,1,"4744","Native 10","Native",4744,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-1",46,1,"3679","Native 10","Native",3679,"Ambiguous","Filled-Gap"
