"subject","item","region","measure","condition","rawdata","group_G"
"Native 10",27,2,"fp",4,167,"Native"
"Native 10",34,2,"fp",3,666,"Native"
"Native 10",46,2,"fp",3,250,"Native"
"Native 10",28,2,"fp",1,353,"Native"
"Native 10",47,2,"fp",4,284,"Native"
"Native 10",29,2,"fp",2,360,"Native"
"Native 10",26,2,"fp",3,279,"Native"
"Native 10",31,2,"fp",4,632,"Native"
"Native 10",45,2,"fp",2,377,"Native"
"Native 10",32,2,"fp",1,223,"Native"
"Native 10",40,2,"fp",1,561,"Native"
"Native 10",37,2,"fp",2,387,"Native"
"Native 10",25,2,"fp",2,212,"Native"
"Native 10",36,2,"fp",1,360,"Native"
"Native 10",41,2,"fp",2,550,"Native"
"Native 10",30,2,"fp",3,521,"Native"
"Native 10",38,2,"fp",3,162,"Native"
"Native 11",27,2,"fp",1,419,"Native"
"Native 11",44,2,"fp",2,495,"Native"
"Native 11",38,2,"fp",4,430,"Native"
"Native 11",46,2,"fp",4,151,"Native"
"Native 11",43,2,"fp",1,305,"Native"
"Native 11",25,2,"fp",3,222,"Native"
"Native 11",36,2,"fp",2,0,"Native"
"Native 11",47,2,"fp",1,290,"Native"
"Native 11",45,2,"fp",3,273,"Native"
"Native 11",32,2,"fp",2,244,"Native"
"Native 11",28,2,"fp",2,312,"Native"
"Native 11",48,2,"fp",2,268,"Native"
"Native 11",37,2,"fp",3,323,"Native"
"Native 11",31,2,"fp",1,354,"Native"
"Native 11",34,2,"fp",4,194,"Native"
"Native 11",30,2,"fp",4,463,"Native"
"Native 11",39,2,"fp",1,195,"Native"
"Native 11",33,2,"fp",3,247,"Native"
"Native 11",40,2,"fp",2,201,"Native"
"Native 11",26,2,"fp",4,402,"Native"
"Native 11",41,2,"fp",3,781,"Native"
"Native 11",42,2,"fp",4,187,"Native"
"Native 11",29,2,"fp",3,500,"Native"
"Native 11",35,2,"fp",1,337,"Native"
"Native 12",38,2,"fp",3,367,"Native"
"Native 12",44,2,"fp",1,271,"Native"
"Native 12",30,2,"fp",3,278,"Native"
"Native 12",35,2,"fp",4,390,"Native"
"Native 12",46,2,"fp",3,233,"Native"
"Native 12",48,2,"fp",1,509,"Native"
"Native 12",42,2,"fp",3,166,"Native"
"Native 12",29,2,"fp",2,275,"Native"
"Native 12",40,2,"fp",1,331,"Native"
"Native 12",32,2,"fp",1,486,"Native"
"Native 12",47,2,"fp",4,338,"Native"
"Native 12",33,2,"fp",2,400,"Native"
"Native 12",37,2,"fp",2,412,"Native"
"Native 12",43,2,"fp",4,276,"Native"
"Native 12",41,2,"fp",2,167,"Native"
"Native 12",31,2,"fp",4,366,"Native"
"Native 12",25,2,"fp",2,1124,"Native"
"Native 12",36,2,"fp",1,196,"Native"
"Native 12",34,2,"fp",3,403,"Native"
"Native 12",39,2,"fp",4,324,"Native"
"Native 12",28,2,"fp",1,552,"Native"
"Native 12",26,2,"fp",3,335,"Native"
"Native 12",27,2,"fp",4,485,"Native"
"Native 12",45,2,"fp",2,851,"Native"
"Native 13",47,2,"fp",2,0,"Native"
"Native 13",25,2,"fp",4,200,"Native"
"Native 13",34,2,"fp",1,304,"Native"
"Native 13",45,2,"fp",4,518,"Native"
"Native 13",36,2,"fp",3,242,"Native"
"Native 13",29,2,"fp",4,305,"Native"
"Native 13",48,2,"fp",3,553,"Native"
"Native 13",37,2,"fp",4,219,"Native"
"Native 13",30,2,"fp",1,218,"Native"
"Native 13",33,2,"fp",4,307,"Native"
"Native 13",32,2,"fp",3,267,"Native"
"Native 13",39,2,"fp",2,218,"Native"
"Native 13",27,2,"fp",2,266,"Native"
"Native 13",41,2,"fp",4,423,"Native"
"Native 13",44,2,"fp",3,227,"Native"
"Native 13",35,2,"fp",2,565,"Native"
"Native 13",46,2,"fp",1,572,"Native"
"Native 13",28,2,"fp",3,493,"Native"
"Native 13",26,2,"fp",1,504,"Native"
"Native 13",42,2,"fp",1,240,"Native"
"Native 13",40,2,"fp",3,257,"Native"
"Native 13",31,2,"fp",2,361,"Native"
"Native 13",43,2,"fp",2,185,"Native"
"Native 13",38,2,"fp",1,320,"Native"
"Native 14",40,2,"fp",4,0,"Native"
"Native 14",47,2,"fp",3,404,"Native"
"Native 14",41,2,"fp",1,194,"Native"
"Native 14",48,2,"fp",4,212,"Native"
"Native 14",31,2,"fp",3,515,"Native"
"Native 14",44,2,"fp",4,0,"Native"
"Native 14",25,2,"fp",1,183,"Native"
"Native 14",36,2,"fp",4,200,"Native"
"Native 14",27,2,"fp",3,503,"Native"
"Native 14",28,2,"fp",4,209,"Native"
"Native 14",32,2,"fp",4,396,"Native"
"Native 14",38,2,"fp",2,0,"Native"
"Native 14",42,2,"fp",2,0,"Native"
"Native 14",37,2,"fp",1,472,"Native"
"Native 14",29,2,"fp",1,333,"Native"
"Native 14",39,2,"fp",3,502,"Native"
"Native 14",35,2,"fp",3,111,"Native"
"Native 14",45,2,"fp",1,509,"Native"
"Native 14",34,2,"fp",2,0,"Native"
"Native 14",46,2,"fp",2,0,"Native"
"Native 14",26,2,"fp",2,0,"Native"
"Native 14",33,2,"fp",1,239,"Native"
"Native 14",43,2,"fp",3,375,"Native"
"Native 14",30,2,"fp",2,0,"Native"
"Native 15",26,2,"fp",3,208,"Native"
"Native 15",40,2,"fp",1,383,"Native"
"Native 15",36,2,"fp",1,265,"Native"
"Native 15",39,2,"fp",4,301,"Native"
"Native 15",47,2,"fp",4,285,"Native"
"Native 15",46,2,"fp",3,733,"Native"
"Native 15",38,2,"fp",3,393,"Native"
"Native 15",28,2,"fp",1,307,"Native"
"Native 15",44,2,"fp",1,196,"Native"
"Native 15",27,2,"fp",4,278,"Native"
"Native 15",42,2,"fp",3,881,"Native"
"Native 15",33,2,"fp",2,371,"Native"
"Native 15",41,2,"fp",2,337,"Native"
"Native 15",43,2,"fp",4,241,"Native"
"Native 15",37,2,"fp",2,0,"Native"
"Native 15",34,2,"fp",3,279,"Native"
"Native 15",25,2,"fp",2,185,"Native"
"Native 15",29,2,"fp",2,336,"Native"
"Native 15",48,2,"fp",1,0,"Native"
"Native 15",45,2,"fp",2,265,"Native"
"Native 15",31,2,"fp",4,119,"Native"
"Native 15",35,2,"fp",4,0,"Native"
"Native 15",30,2,"fp",3,360,"Native"
"Native 15",32,2,"fp",1,223,"Native"
"Native 16",43,2,"fp",1,267,"Native"
"Native 16",39,2,"fp",1,356,"Native"
"Native 16",42,2,"fp",4,312,"Native"
